,video_id,title,comment_count,digg_count,share_count
6808400140475305229,请不要这样买票，否则后果不堪设想！#骗局 #安全#抖音小助手,25,1911,49
6770560479812226311,遇到这种的陌生人求助，一定要提高警惕，千万别被骗！#防骗 #推理 @抖音小助手,139,15365,2509
6807684538769214733,遇到他人求救，美女千万要小心，不然后果… #安全  #侦探   #抖音小助手,586,68617,1147
6807977557506444551,美女，千万不要让这种事伤害你的善良！ #善良 #侦探#抖音小助手 #推理,7083,354033,24054
6809108303956790542,遇到这种事情，一定要学会依法保障自己的权益！#抖音小助手 #侦探,3,196,2
6808768267172187399,姑娘，再熟悉的陌生人也要注意安全呀！#安全 #侦探 #抖音小助手,20,588,6
6808400140475305229,请不要这样买票，否则后果不堪设想！#骗局 #安全#抖音小助手,25,1911,49
6770560479812226311,遇到这种的陌生人求助，一定要提高警惕，千万别被骗！#防骗 #推理 @抖音小助手,139,15365,2509
6808048413100264717,疫情还没有过去，又是冰雹又是雷电交加⚡️⚡️⚡️，太吓人啦，祈祷🙏这一切快快过去，让我们美丽的城市好起来了,2512,79481,21087
6807265726458629383,嘻嘻哈哈的走乡间小路上，边走边拍,14,333,2
6804027167320608013,看油菜花开了，蜜蜂采蜜后就有蜂蜜喝,22,198,2
6800979493088398600,女神节到了，没有标题🎶🎶🎶🎶,4,194,0
6799966070833679624,等疫情过了要努力挣钱💰💰，过好每一天，加油！,7,154,2
6799198037844446478,三月已经来了，是春暖花开的季节，希望疫情早点结束,12,291,1
6796622494838115598,等这次疫情过后只对这两种人好,10,218,2
6792187993940610318,除了立扫帚，硬币，这种是什么水平？哈哈哈哈[偷笑][偷笑][偷笑],9,126,0
6790947924370083085,武汉加油！ 重庆加油！,20,201,4
6790177612921638151,我在家我骄傲，刷刷抖音睡睡觉😪，给自己省钞票又跟国家省口罩,13,214,1
6789954942514842894,关疯了，大半夜对着楼下唱歌🎤居然还有人接上,3,132,0
6789558667466312973,这是有多无聊,2,94,0
6788303411453398280,实在无聊😔，今天星期几了，有没有人知道😊,12,75,2
6786946463726357763,我年薪百万，做白日梦,2,114,1
6785438965676690700,“残冬收雪，三阴初转，已换年华。”时间的琴音悠扬地划过最后一道弦，便华丽地收指，从岁首悄然滑入了岁末。,5,87,0
6779199769546968328,#喜欢就要说出来,8,81,0
6777218891459366151,,8,114,0
6776870477697666307,新婚快乐,2,92,0
6776749936613543176,抢媳妇了,4,77,0
6809217641924939021,第1集|#养父的花样年华 #我的观影报告 @抖音小助手,4,79,0
6809035694065945870,#我的观影报告 @抖音小助手,16,729,3
6808827833734008078,#我的观影报告 @抖音小助手,170,11678,56
6808656216651353357,#我的观影报告 @抖音小助手,489,119030,1049
6808459497124678925,#DOU上热门 #感谢官方感谢热门,13,1402,7
6808294991425703182,#感谢官方感谢抖音 #感谢官方感谢热门,29,1455,51
6808131852109384967,真正的富二代不是炫富，而是低调#我的观影报告,12,1062,4
6807924340055690510,你细品，仔细的品#我的观影报告 @抖音小助手,15,903,5
6807729083800243463,#唐山大地震电影,18,734,15
6807543752199064846,#励志正能量,20,738,20
6807357069381930253,#感恩母亲,29,1311,13
6807182741638089998,洪水无情，人间有情#我的观影报告,13,666,6
6806969358611533064,好久没上热门了，能顶上热门吗#我要上热门 @抖音小助手,18,1013,11
6806898794471443720,善良的人运气不会差，傻人自有傻福#DOU上热门 @抖音小助手,7,612,7
6806809719978609934,事情终于真相大白了，大妈露出了笑容#我要上热门 #我的观影剪辑,11,496,6
6806615451901218062,故事越来越精彩#我的观影剪辑 @抖音小助手,5,331,5
6806450089234533639,#我的观影剪辑 @抖音小助手,6,378,4
6809217641924939021,第1集|#养父的花样年华 #我的观影报告 @抖音小助手,4,79,0
6809035694065945870,#我的观影报告 @抖音小助手,16,729,3
6808827833734008078,#我的观影报告 @抖音小助手,170,11678,56
6808656216651353357,#我的观影报告 @抖音小助手,489,119030,1049
6808459497124678925,#DOU上热门 #感谢官方感谢热门,13,1402,7
6808294991425703182,#感谢官方感谢抖音 #感谢官方感谢热门,29,1455,51
6808131852109384967,真正的富二代不是炫富，而是低调#我的观影报告,12,1062,4
6807924340055690510,你细品，仔细的品#我的观影报告 @抖音小助手,15,903,5
6807729083800243463,#唐山大地震电影,18,734,15
6807543752199064846,#励志正能量,20,738,20
6807357069381930253,#感恩母亲,29,1311,13
6807182741638089998,洪水无情，人间有情#我的观影报告,13,666,6
6806969358611533064,好久没上热门了，能顶上热门吗#我要上热门 @抖音小助手,18,1013,11
6806898794471443720,善良的人运气不会差，傻人自有傻福#DOU上热门 @抖音小助手,7,612,7
6806809719978609934,事情终于真相大白了，大妈露出了笑容#我要上热门 #我的观影剪辑,11,496,6
6806615451901218062,故事越来越精彩#我的观影剪辑 @抖音小助手,5,331,5
6806450089234533639,#我的观影剪辑 @抖音小助手,6,378,4
6809153698950925579,行人闯红灯被撞，交警判定行人全责！你支持这种责任划分吗？#交通安全,212,292314,621
6808750194604150029,回国隔离者质疑酒店临时调高价格，你怎么看？,272,164377,405
6808718997572406539,#致敬英雄！大货车车体燃起大火，司机未弃车逃命，反而加速驶离人员密集区！#消防,172,271203,1160
6809250121784544524,郑州一路段夜鹭扎堆致鸟粪遍地，车辆行人皆难幸免，市民戏称“天屎之路”,0,640,6
6809214362209848588,#消防员 灭火时双脚被点着，看着揪心！向每一位消防员致敬！,66,9662,10
6809188843783228675,泰国父亲为防止儿子疫情期间乱跑，给他剪了一个不能出街的发型，这深沉的父爱，我哭了你们呢#笑哭,20,2753,51
6809186818123156740,72岁老人超市劝戴口罩被打死，打人者竟是刑满释放人员！北京检方：依法批捕！,25,9130,71
6809173791269293324,开封一货车着火，车主称车内有4个液化气罐！猜到了开局，却没有猜到结尾……#神反转 #安全,92,13475,75
6809139224072178956,是运气好还是运气差？#交通安全,10,1754,8
6809127474576805127,,42,3234,1
6809104963113913614,八达岭开发第一天，年轻女游客用钥匙在城墙上刻字！保护文物人人有责，什么时候能有个旅游者黑名单？,19,1257,2
6809103718663982350,刚签认购书，河南正商每平方硬涨六百元，购房者痛批：太欺负人！ #房价_ #正商,1,312,1
6809098511431388428,感动！武汉外卖小哥风雨中送餐，阳光灿烂的日子终会来临，武汉加油！,2,1206,2
6809094564012461323,中国援塞医疗队到我国驻南联盟被炸使馆旧址凭吊，请记住这三位烈士，勿忘历史！,8,1666,5
6809088310091255044,廊坊#豪横 奔驰女拒绝酒测，怒怼围观群众：我乐意，我就牛！#素质,31,1274,7
6809071211201449219,洒水车：终究还是一个人扛下了所有……#安全 #消防,26,1807,10
6809064427988552972,窗户贴上求救信号？好心邻居立即报警，结果……#尴尬,39,1775,16
6809062612127517956,向每一个为了家庭辛勤打拼的人点赞！👍🏻  #父亲  #感动,24,2365,10
6809059268621274372,#李兰娟院士 首次披露#武汉 封城细节：1月22日深夜向上汇报必须封！,47,7904,31
6809045390290210060,就在今天！#武汉地铁 正式恢复运营！,3,887,6
6808946438085561613,卖家你睡了吗？我这会睡不着想找你聊聊…,24,2139,33
6809215904451218701,#警中警 给群众脸色看，被督察长撞见，好看了#抖音小助手,38,1506,3
6809080259061878024,#警中警 想把黄鱼养肥？督察长有话说………#抖音小助手,10,1371,6
6808686034809933070,#警中警 到底是谁走漏的风声，这下好看了#抖音小助手,28,1337,13
6807736400503508231,#电影片段剪辑 回想当初历历在目，现在老司机，可车没了#抖音小助手,46,1148,22
6807001684213107975,#经典电影 女人真的越胖越受欢迎吗？我读书少，你们不要骗我#抖音小助手,231,20496,145
6806612655160200455,#北漂爱情故事 女人何苦为难女人，最后都还是敗给了现实！#抖音小助手,23,1415,27
6806469864379780360,女汉间偷发电报，被发现后当场上演美人计#经典影视 #抖音小助手,31,1207,8
6806114636845305096,#经典电影 #同城 人穷莫入众，言轻莫劝人！#hello树先生,43,1084,30
6806092445168831757,#红蜘蛛 十个光头九个富#抖音小助手,237,21960,223
6805888802968685832,#扫毒 一场正义与邪恶的较量，正义永远不会来迟#抖音小助手,58,1866,20
6805722983718522125,#警中警 当着武J的面嚣张跋扈，谁来也不好使#抖音小助手,231,6126,59
6805511799060925704,#警中警 一场正义与邪恶的较量，正义必胜！当着武J的面嚣张跋扈，中国武J可不惯着,1452,91879,1226
6805364360354008327,#警中警 一场正义与邪恶的较量，正义必胜！！！你们要的第二段来了,78,3599,40
6805138895013940488,#警中警一场正义与邪恶的较量，正义必胜！！！ #抖音小助手,116,3515,58
6808793921519373568,我还是从前那个傻妞，没有一丝丝改变😜#女大十八变,17,116,1
6806715184267152640,#潜水艇大挑战 明明可以靠手指👆却要用脑袋来证明！好吧，我承认，这脑袋瓜不行🙅,11,36,0
